date,T (degC)
1/1/20 0:10,0.71
1/1/20 0:20,0.75
1/1/20 0:30,0.73
1/1/20 0:40,0.37
1/1/20 0:50,0.33
1/1/20 1:00,0.34
1/1/20 1:10,0.19
1/1/20 1:20,0.03
1/1/20 1:30,0.11
1/1/20 1:40,0.22
1/1/20 1:50,-0.04
1/1/20 2:00,-0.21
1/1/20 2:10,-0.1
1/1/20 2:20,-0.16
1/1/20 2:30,-0.22
1/1/20 2:40,-0.06
1/1/20 2:50,-0.17
1/1/20 3:00,-0.05
1/1/20 3:10,-0.21
1/1/20 3:20,-0.77
1/1/20 3:30,-0.93
1/1/20 3:40,-0.86
1/1/20 3:50,-0.87
1/1/20 4:00,-1.02
1/1/20 4:10,-1.15
1/1/20 4:20,-1.08
1/1/20 4:30,-1.59
1/1/20 4:40,-1.82
1/1/20 4:50,-1.84
1/1/20 5:00,-1.84
1/1/20 5:10,-2.14
1/1/20 5:20,-2.34
1/1/20 5:30,-2.2
1/1/20 5:40,-2.3
1/1/20 5:50,-2.4
1/1/20 6:00,-2.51
1/1/20 6:10,-2.83
1/1/20 6:20,-2.79
1/1/20 6:30,-2.74
1/1/20 6:40,-2.63
1/1/20 6:50,-2.5
1/1/20 7:00,-2.26
1/1/20 7:10,-2.31
1/1/20 7:20,-2.53
1/1/20 7:30,-2.68
1/1/20 7:40,-2.73
1/1/20 7:50,-2.79
1/1/20 8:00,-2.84
1/1/20 8:10,-2.89
1/1/20 8:20,-3.02
1/1/20 8:30,-2.84
1/1/20 8:40,-2.91
1/1/20 8:50,-3.11
1/1/20 9:00,-3.08
1/1/20 9:10,-3.03
1/1/20 9:20,-2.95
1/1/20 9:30,-3.01
1/1/20 9:40,-2.84
1/1/20 9:50,-2.67
1/1/20 10:00,-1.93
1/1/20 10:10,-1.53
1/1/20 10:20,-1.25
1/1/20 10:30,-1.24
1/1/20 10:40,-1.32
1/1/20 10:50,-1.03
1/1/20 11:00,-1.14
1/1/20 11:10,-0.83
1/1/20 11:20,-0.65
1/1/20 11:30,-0.43
1/1/20 11:40,-0.4
1/1/20 11:50,-0.06
1/1/20 12:00,0.68
1/1/20 12:10,0.93
1/1/20 12:20,1.23
1/1/20 12:30,1.7
1/1/20 12:40,1.98
1/1/20 12:50,2.62
1/1/20 13:00,2.83
1/1/20 13:10,2.87
